Borough,Zipcode,Year,Month,Average Sale Price
Manhattan,10034,2022,January,553805.5556
Manhattan,10035,2022,January,1530500
Manhattan,10036,2022,January,924627.7778
Manhattan,10037,2022,January,347844
Manhattan,10038,2022,January,2928878.778
Manhattan,10039,2022,January,929428.5714
Manhattan,10040,2022,January,463694.4
Manhattan,10044,2022,January,792769.25
Manhattan,10065,2022,January,2945456.294
Manhattan,10069,2022,January,1425584.083
Manhattan,10075,2022,January,7172138.569
Manhattan,10128,2022,January,3450417.347
Manhattan,10280,2022,January,677285.7143
Manhattan,10001,2022,February,3364576.778
Manhattan,10002,2022,February,2045285.235
Manhattan,10003,2022,February,1799199.568
Manhattan,10004,2022,February,1416722.222
Manhattan,10005,2022,February,1135000
Manhattan,10006,2022,February,818353.5
Manhattan,10007,2022,February,3080692.308
Manhattan,10009,2022,February,1985980
Manhattan,10010,2022,February,1494515.176
Manhattan,10011,2022,February,2417013.252
Manhattan,10012,2022,February,4074803.4
Manhattan,10013,2022,February,4590595.27
Manhattan,10014,2022,February,2376255.203
Manhattan,10016,2022,February,8668346.304
Manhattan,10017,2022,February,1637184.333
Manhattan,10018,2022,February,6639650
Manhattan,10019,2022,February,10700059.6
Manhattan,10021,2022,February,1447815.038
Manhattan,10022,2022,February,2759567.541
Manhattan,10023,2022,February,2019899.344
Manhattan,10024,2022,February,2017682.362
Manhattan,10025,2022,February,1772493.365
Manhattan,10026,2022,February,766605.2632
Manhattan,10027,2022,February,880503.1897
Manhattan,10028,2022,February,2267190.121
Manhattan,10029,2022,February,2358917.75
Manhattan,10030,2022,February,258000
Manhattan,10031,2022,February,955975
Manhattan,10032,2022,February,480366.125
Manhattan,10033,2022,February,978333.3333
Manhattan,10034,2022,February,562716
Manhattan,10035,2022,February,538571.4286
Manhattan,10036,2022,February,4441444.389
Manhattan,10038,2022,February,2037574.391
Manhattan,10039,2022,February,555000
Manhattan,10040,2022,February,1297571.429
Manhattan,10044,2022,February,988123
Manhattan,10065,2022,February,1911731.245
Manhattan,10069,2022,February,1815320.889
Manhattan,10075,2022,February,1724801.235
Manhattan,10128,2022,February,4030737.327
Manhattan,10280,2022,February,880963.5882
Manhattan,10463,2022,February,1222000
Manhattan,10001,2022,March,4513309.303
Manhattan,10002,2022,March,2972761.178
Manhattan,10003,2022,March,3109972.304
Manhattan,10004,2022,March,1939500
Manhattan,10005,2022,March,1890670.083
Manhattan,10006,2022,March,2684833.333
Manhattan,10007,2022,March,2392500
Manhattan,10009,2022,March,1442723.474
Manhattan,10010,2022,March,2576033.067
Manhattan,10011,2022,March,2645997.477
Manhattan,10012,2022,March,3483105.769
Manhattan,10013,2022,March,4081085.34
Manhattan,10014,2022,March,2987194.348
Manhattan,10016,2022,March,10610007.52
Manhattan,10017,2022,March,1095154.237
Manhattan,10018,2022,March,17364444.44
Manhattan,10019,2022,March,2800951.261
Manhattan,10021,2022,March,3176622.795
Manhattan,10022,2022,March,1068900.111
Manhattan,10023,2022,March,41130916.16
Manhattan,10024,2022,March,2626542.114
Manhattan,10025,2022,March,2086430.71
Manhattan,10026,2022,March,1035000
Manhattan,10027,2022,March,1404377.203
Manhattan,10028,2022,March,15414214.13
Manhattan,10029,2022,March,1046666.667
Manhattan,10030,2022,March,403507.8571
Manhattan,10031,2022,March,272598.0714
Manhattan,10032,2022,March,1962174.2
Manhattan,10033,2022,March,4102685
Manhattan,10034,2022,March,3277333.333
Manhattan,10035,2022,March,756250
Manhattan,10036,2022,March,9877731.963
Manhattan,10037,2022,March,625000
Manhattan,10038,2022,March,1822495.826
Manhattan,10039,2022,March,610833.3333
Manhattan,10040,2022,March,367500
Manhattan,10044,2022,March,1085228
Manhattan,10065,2022,March,1754968.905
Manhattan,10069,2022,March,914568.6364
Manhattan,10075,2022,March,1970190.457
Manhattan,10128,2022,March,1203371.955
Manhattan,10280,2022,March,1330000
Manhattan,10282,2022,March,4305000
Manhattan,10463,2022,March,832500
Bronx,10451,2021,April,251125
Bronx,10452,2021,April,156610
Bronx,10453,2021,April,3777592.667
Bronx,10454,2021,April,1097777.778
Bronx,10455,2021,April,277777.7778
Bronx,10456,2021,April,713791.6667
Bronx,10457,2021,April,389599.9474
Bronx,10458,2021,April,577031.4286
Bronx,10459,2021,April,301541.6667
Bronx,10460,2021,April,452727.7273
Bronx,10461,2021,April,371869.2564
Bronx,10462,2021,April,229718.4333
Bronx,10463,2021,April,860367.8125
Bronx,10464,2021,April,550916.6667
Bronx,10465,2021,April,403824.4559
Bronx,10466,2021,April,322471.6905
Bronx,10467,2021,April,839131.9643
Bronx,10468,2021,April,1010625
Bronx,10469,2021,April,269432.9508
Bronx,10470,2021,April,451727.2727
Bronx,10471,2021,April,362116.7742
Bronx,10472,2021,April,1448863.636
Bronx,10473,2021,April,390186.3913
Bronx,10474,2021,April,0
Bronx,10475,2021,April,539000
Bronx,10451,2021,May,2744673.7
Bronx,10452,2021,May,423186.2857
Bronx,10453,2021,May,307000
Bronx,10454,2021,May,11625501
Bronx,10455,2021,May,322290.7143
Bronx,10456,2021,May,157334
Bronx,10457,2021,May,611923.0769
Bronx,10458,2021,May,326461.5385
Bronx,10459,2021,May,126000
Bronx,10460,2021,May,620372.3571
Bronx,10461,2021,May,592425.9259
Bronx,10462,2021,May,446607.3934
Bronx,10463,2021,May,363364.0145
Bronx,10464,2021,May,893955.7143
Bronx,10465,2021,May,554917.2
Bronx,10466,2021,May,322338.6269
Bronx,10467,2021,May,338562.3871
Bronx,10468,2021,May,1180250
Bronx,10469,2021,May,386458.913
Bronx,10470,2021,May,342818.1818
Bronx,10471,2021,May,550263.6774
Bronx,10472,2021,May,344635.7143
Bronx,10473,2021,May,323452.5758
Bronx,10474,2021,May,23300000
Bronx,10475,2021,May,192000
Bronx,10451,2021,June,474874.5833
Bronx,10452,2021,June,4159745.5
Bronx,10453,2021,June,2468575.292
Bronx,10454,2021,June,1357000
Bronx,10455,2021,June,293445.5385
Bronx,10456,2021,June,2921561.935
Bronx,10457,2021,June,1086089.826
Bronx,10458,2021,June,2937408.789
Bronx,10459,2021,June,2096392.25
Bronx,10460,2021,June,321382.963
Bronx,10461,2021,June,499301.9608
Bronx,10462,2021,June,336842.6027
Bronx,10463,2021,June,666045.64
Bronx,10464,2021,June,313900
Bronx,10465,2021,June,415281.629
Bronx,10466,2021,June,357384.9242
Bronx,10467,2021,June,1365331.279
Bronx,10468,2021,June,1783826.429
Bronx,10469,2021,June,358356.4444
Bronx,10470,2021,June,320276.5556
Bronx,10471,2021,June,448440.2195
Bronx,10472,2021,June,468477.875
Bronx,10473,2021,June,387225.0811
Bronx,10474,2021,June,12664709.4
Bronx,10475,2021,June,68000
Bronx,10451,2021,July,251000
Bronx,10452,2021,July,314326.25
Bronx,10453,2021,July,579814.6667
Bronx,10454,2021,July,719501.6667
Bronx,10455,2021,July,335933.3333
Bronx,10456,2021,July,2489798.781
Bronx,10457,2021,July,364600
Bronx,10458,2021,July,344375
Bronx,10459,2021,July,967500
Bronx,10460,2021,July,239531.25
Bronx,10461,2021,July,412013.1552
Bronx,10462,2021,July,305553.863
Bronx,10463,2021,July,401303.1167
Bronx,10464,2021,July,629757.7895
